"Sex"	"Item Name"	"Area"	"date"	"value type"	"value"	"flag"
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"September 2019"	"number"	18	""
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"October 2019"	"number"	20	""
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"November 2019"	"number"	15	""
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"December 2019"	"number"	13	""
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"January 2020"	"number"	14	""
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"February 2020"	"number"	13	""
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"March 2020"	"number"	12	""
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"April 2020"	"number"	31	""
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"May 2020"	"number"	40	""
"Total"	"Total claimants"	"ps:AB11 6 - Aberdeen"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"January 2017"	"number"	20	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"February 2017"	"number"	26	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"March 2017"	"number"	26	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"April 2017"	"number"	27	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"May 2017"	"number"	22	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"June 2017"	"number"	17	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"July 2017"	"number"	19	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"August 2017"	"number"	22	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"September 2017"	"number"	17	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"October 2017"	"number"	16	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"November 2017"	"number"	15	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"December 2017"	"number"	8	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"January 2018"	"number"	11	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"February 2018"	"number"	12	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"March 2018"	"number"	11	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"April 2018"	"number"	13	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"May 2018"	"number"	13	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"June 2018"	"number"	11	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"July 2018"	"number"	8	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"August 2018"	"number"	9	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"September 2018"	"number"	12	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"October 2018"	"number"	10	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"November 2018"	"number"	7	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"December 2018"	"number"	6	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"January 2019"	"number"	6	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"February 2019"	"number"	4	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"March 2019"	"number"	5	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"April 2019"	"number"	5	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"May 2019"	"number"	6	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"June 2019"	"number"	7	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"July 2019"	"number"	4	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"August 2019"	"number"	4	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"September 2019"	"number"	3	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"October 2019"	"number"	4	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"November 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"December 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"January 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"February 2020"	"number"	3	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"March 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"April 2020"	"number"	14	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"May 2020"	"number"	12	""
"Total"	"Total claimants"	"ps:AB11 7 - Aberdeen"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"January 2017"	"number"	180	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"February 2017"	"number"	170	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"March 2017"	"number"	175	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"April 2017"	"number"	171	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"May 2017"	"number"	166	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"June 2017"	"number"	173	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"July 2017"	"number"	159	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"August 2017"	"number"	157	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"September 2017"	"number"	141	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"October 2017"	"number"	138	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"November 2017"	"number"	145	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"December 2017"	"number"	153	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"January 2018"	"number"	163	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"February 2018"	"number"	168	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"March 2018"	"number"	162	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"April 2018"	"number"	173	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"May 2018"	"number"	161	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"June 2018"	"number"	165	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"July 2018"	"number"	167	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"August 2018"	"number"	150	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"September 2018"	"number"	149	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"October 2018"	"number"	148	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"November 2018"	"number"	147	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"December 2018"	"number"	130	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"January 2019"	"number"	127	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"February 2019"	"number"	113	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"March 2019"	"number"	100	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"April 2019"	"number"	94	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"May 2019"	"number"	88	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"June 2019"	"number"	77	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"July 2019"	"number"	72	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"August 2019"	"number"	69	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"September 2019"	"number"	66	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"October 2019"	"number"	63	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"November 2019"	"number"	56	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"December 2019"	"number"	53	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"January 2020"	"number"	49	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"February 2020"	"number"	50	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"March 2020"	"number"	50	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"April 2020"	"number"	60	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"May 2020"	"number"	69	""
"Total"	"Total claimants"	"ps:AB11 8 - Aberdeen"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"January 2017"	"number"	103	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"February 2017"	"number"	108	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"March 2017"	"number"	112	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"April 2017"	"number"	107	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"May 2017"	"number"	106	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"June 2017"	"number"	105	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"July 2017"	"number"	95	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"August 2017"	"number"	94	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"September 2017"	"number"	98	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"October 2017"	"number"	81	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"November 2017"	"number"	79	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"December 2017"	"number"	89	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"January 2018"	"number"	101	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"February 2018"	"number"	103	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"March 2018"	"number"	103	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"April 2018"	"number"	110	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"May 2018"	"number"	116	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"June 2018"	"number"	122	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"July 2018"	"number"	109	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"August 2018"	"number"	105	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"September 2018"	"number"	88	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"October 2018"	"number"	92	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"November 2018"	"number"	97	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"December 2018"	"number"	82	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"January 2019"	"number"	82	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"February 2019"	"number"	67	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"March 2019"	"number"	60	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"April 2019"	"number"	55	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"May 2019"	"number"	49	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"June 2019"	"number"	47	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"July 2019"	"number"	44	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"August 2019"	"number"	39	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"September 2019"	"number"	34	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"October 2019"	"number"	37	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"November 2019"	"number"	37	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"December 2019"	"number"	38	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"January 2020"	"number"	36	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"February 2020"	"number"	32	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"March 2020"	"number"	32	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"April 2020"	"number"	43	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"May 2020"	"number"	43	""
"Total"	"Total claimants"	"ps:AB11 9 - Aberdeen"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"January 2017"	"number"	77	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"February 2017"	"number"	76	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"March 2017"	"number"	66	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"April 2017"	"number"	63	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"May 2017"	"number"	61	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"June 2017"	"number"	61	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"July 2017"	"number"	55	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"August 2017"	"number"	52	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"September 2017"	"number"	47	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"October 2017"	"number"	56	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"November 2017"	"number"	56	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"December 2017"	"number"	56	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"January 2018"	"number"	55	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"February 2018"	"number"	57	""
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB12 3 - Aberdeen"	"March 2018"	"number"	59	""
